Title,Genres,Difficulty,AI Reasoning
"The Shawshank Redemption","Drama, Crime","Easy Mode","Consistently ranked as the top movie on IMDb with universal global recognition."
"The Godfather","Crime, Drama","Easy Mode","Widely regarded as one of the most influential and famous films in cinematic history."
"Ramayana: The Legend of Prince Rama","Animation, Action, Adventure, Fantasy","Hard Mode","A beloved cult classic anime, but its recognition is primarily concentrated in India and Japan."
"The Chaos Class","Comedy, Drama","Hard Mode","A legendary cult film in Turkey (Hababam Sinifi), but relatively unknown to general audiences outside the region."
"The Dark Knight","Action, Crime, Drama","Easy Mode","A massive modern blockbuster with significant cultural impact and global box office success."
"Schindler's List","Biography, Drama, History","Easy Mode","A highly acclaimed historical drama known worldwide for its educational and emotional significance."
"The Lord of the Rings: The Return of the King","Action, Adventure, Drama, Fantasy","Easy Mode","Part of one of the highest-grossing and most famous film franchises in history."
"12 Angry Men","Drama, Crime","Easy Mode","A staple of classic cinema taught in film schools and recognized globally for its screenplay."
"The Godfather Part II","Crime, Drama","Easy Mode","Commonly cited as the greatest sequel of all time and part of a world-famous trilogy."
"Mirror Game","Crime, Mystery, Thriller","Impossible Mode","An obscure 2017 psychological thriller with very low international awareness or cultural footprint."
"Daman","Adventure, Drama","Impossible Mode","A regional Indian film (Assamese or Odia) that has very limited recognition outside its specific locality."
"Pulp Fiction","Crime, Drama","Easy Mode","A critically acclaimed cult classic directed by Quentin Tarantino, widely recognized globally."
"Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc","Animation, Action, Fantasy, Adventure","Hard Mode","While the franchise is huge, this specific television arc is more niche compared to the standalone movies."
"The Message","Biography, Drama, History","Hard Mode","An influential film in the Islamic world, but significantly less known in Western mainstream markets."
"Tosun Paşa","Comedy, History, Adventure","Impossible Mode","A Turkish cult classic that remains largely unknown outside of Turkey and the Turkish diaspora."
"The Chaos Class Failed the Class","Comedy, Drama","Impossible Mode","A beloved Turkish comedy from the Hababam Sınıfı series, but obscure on a global scale."
"Fight Club","Drama","Easy Mode","A massive cultural phenomenon with high global recognition and frequent pop-culture references."
"The Lord of the Rings: The Fellowship of the Ring","Adventure, Fantasy, Action","Easy Mode","Part of one of the highest-grossing and most famous film franchises in history."
"Inception","Action, Sci-Fi, Adventure","Easy Mode","A blockbuster sci-fi film by Christopher Nolan that was a global box office success."
"Forrest Gump","Drama, Romance","Easy Mode","An Oscar-winning classic that is extremely well-known across different generations and regions."
"The Lord of the Rings: The Two Towers","Action, Adventure, Drama, Fantasy","Easy Mode","A globally recognized fantasy blockbuster and Academy Award winner."
"The Good, the Bad and the Ugly","Western, Adventure","Easy Mode","An iconic Spaghetti Western widely cited as one of the greatest films ever made."
"Jai Bhim","Crime, Drama, Mystery","Hard Mode","Critically acclaimed Indian legal drama that achieved high IMDb scores but is mostly niche outside of South Asia."
"Kill Bill: The Whole Bloody Affair","Action, Crime, Thriller","Hard Mode","A specific extended edit of the Kill Bill films known primarily to dedicated cinephiles and Tarantino fans."
"777 Charlie","Adventure, Drama, Comedy","Hard Mode","A popular Indian adventure film that, despite its high rating, remains niche to international mainstream audiences."
"Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc","Action, Fantasy, Adventure","Hard Mode","A specific compilation or TV special within a massive anime franchise, making it more niche than the main series or movies."
"Manichithrathazhu","Psychological Horror, Thriller, Drama, Mystery","Hard Mode","A legendary Malayalam psychological thriller with immense regional fame but limited global recognition."
"#Home","Drama, Comedy","Impossible Mode","A contemporary Malayalam family drama with very little visibility outside of the Indian streaming market."
"Balkan Spy","Comedy, Drama","Impossible Mode","A classic of Serbian and Yugoslav cinema that is virtually unknown to audiences outside the Balkan region."
"Maratonci trče počasni krug","Comedy, Drama","Impossible Mode","A cult classic Yugoslav black comedy that is rarely seen or recognized in the international film circuit."
"Süt Kardeşler","Comedy, Mystery, Horror","Impossible Mode","A 1976 Turkish comedy classic that is extremely well-known in Turkey but remains obscure to international audiences."
"Spider-Man: Across the Spider-Verse","Animation, Action, Adventure, Sci-Fi","Easy Mode","A massive global box office hit and part of the Marvel and Spider-Man franchises."
"Interstellar","Adventure, Drama, Sci-Fi","Easy Mode","A highly acclaimed Christopher Nolan film with immense worldwide popularity and cultural impact."
"Goodfellas","Biography, Crime, Drama","Easy Mode","Widely considered one of the greatest films ever made and a staple of the crime drama genre globally."
"The Matrix","Action, Sci-Fi","Easy Mode","A revolutionary sci-fi film that is a cornerstone of global pop culture."
"One Flew Over the Cuckoo's Nest","Drama","Easy Mode","A multi-Oscar winning classic that is part of the standard cinematic canon."
"Star Wars: Episode V - The Empire Strikes Back","Action, Adventure, Fantasy, Sci-Fi","Easy Mode","One of the most famous and highest-grossing films of all time."
"Toma","Biography, Drama, Music","Hard Mode","A highly successful Serbian biographical drama that broke regional records but is niche on a global scale."
"Rocketry: The Nambi Effect","Biography, Drama","Hard Mode","A significant Indian biographical film that received critical acclaim but is primarily known within South Asian cinema circles."
"The Legend of Maula Jatt","Action, Drama, Fantasy","Hard Mode","The highest-grossing Pakistani film of all time, making waves internationally but still considered niche in the broader global market."
"Soorarai Pottru","Drama, Action","Hard Mode","Highly rated Indian film with strong streaming visibility but primarily known within South Asian and dedicated cinephile circles."
"Who's Singin' Over There?","Comedy, Drama, War","Impossible Mode","A legendary Yugoslavian film that is a cult classic in its region but remains largely obscure to the general global audience."
"Pariyerum Perumal","Drama, Social Drama","Hard Mode","A critically acclaimed regional Indian film with a niche audience among international independent cinema fans."
"Saban, Son of Saban","Comedy, Crime","Impossible Mode","An iconic Turkish comedy known domestically as 'Saban Oğlu Saban' but virtually unknown to international viewers."
"Peranbu","Drama","Hard Mode","An acclaimed Tamil drama that has gained recognition in festival circuits but remains a niche title globally."
"Kibar Feyzo","Comedy, Drama, Satire","Impossible Mode","A cult classic Turkish film with strong domestic cultural significance but no major global recognition."
"Zügürt Aga","Comedy, Drama","Impossible Mode","A highly regarded Turkish social commentary film that is obscure outside of Turkish cinema history."
"Neşeli Günler","Comedy, Drama, Romance","Impossible Mode","A beloved Turkish family comedy-drama that is culturally specific and obscure to a global audience."
"The Chaos Class Is Waking Up","Comedy, Drama","Impossible Mode","Part of the Turkish 'Hababam Sınıfı' franchise, which has massive domestic fame but is obscure internationally."
"Oppenheimer","Biography, Drama, History","Easy Mode","A global box office phenomenon and Academy Award-winning film known by audiences worldwide."
"Se7en","Crime, Drama, Mystery, Thriller","Easy Mode","A globally recognized crime thriller with high popularity on major film databases."
"The Silence of the Lambs","Crime, Drama, Thriller, Horror","Easy Mode","An iconic psychological horror film that won several major Academy Awards."
"Saving Private Ryan","War, Drama, Action","Easy Mode","Widely considered the definitive modern war film by Steven Spielberg."
"Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy, Sci-Fi","Easy Mode","One of the most commercially successful and culturally significant films ever made."
"The Green Mile","Drama, Crime, Fantasy","Easy Mode","A very popular adaptation of a Stephen King novel starring Tom Hanks."
"Spirited Away","Animation, Adventure, Family, Fantasy","Easy Mode","The most famous Japanese animated film and an Oscar winner with global reach."
"Terminator 2: Judgment Day","Action, Sci-Fi","Easy Mode","A blockbuster sequel that defined action and visual effects for a generation."
"City of God","Crime, Drama","Hard Mode","Extremely highly rated but as a Brazilian Portuguese-language film, it is more niche for general global audiences."
"Life Is Beautiful","Comedy, Drama, War","Hard Mode","A world-renowned Italian film, though its foreign language status keeps it slightly less mainstream than Hollywood blockbusters."
"It's a Wonderful Life","Drama, Family, Fantasy","Easy Mode","A classic American holiday staple known widely across generations."
"Seven Samurai","Action, Drama","Easy Mode","A world-renowned masterpiece of Japanese cinema by Akira Kurosawa that is highly recognizable to global audiences."
"Harakiri","Action, Drama, History","Easy Mode","A critically acclaimed classic frequently featured on international top-film lists."
"The Kashmir Files","Drama, History","Hard Mode","A significant box-office success in India that remains niche in global mainstream awareness."
"Sita Ramam","Romance, Drama, Action","Hard Mode","A popular contemporary Indian romantic drama with limited recognition outside of South Asian cinema circles."
"A Dog's Will","Adventure, Comedy, Fantasy","Hard Mode","A legendary Brazilian film that holds massive local popularity but is niche on a global scale."
"Pretty Village, Pretty Flame","War, Drama, History","Impossible Mode","A highly regarded Serbian war film that is obscure to the general international public."
"Nayakan","Crime, Drama","Hard Mode","An influential Indian classic that is celebrated by cinephiles but relatively niche globally."
"Anbe Sivam","Drama, Adventure, Comedy","Hard Mode","A beloved cult classic in Indian cinema with limited international distribution or recognition."
"The Chaos Class Is on Vacation","Comedy, Family","Impossible Mode","A foundational Turkish comedy classic that is almost entirely unknown outside of Turkey."
"Gladiator","Action, Adventure, Drama","Easy Mode","A massive Hollywood blockbuster with universal global recognition and multiple Academy Awards."
"The Departed","Crime, Drama, Thriller","Easy Mode","A Best Picture winner with an A-list cast that achieved significant mainstream success."
"Alien","Sci-Fi, Horror","Easy Mode","An iconic science-fiction horror masterpiece that is recognized globally."
"Parasite","Thriller, Drama, Comedy","Easy Mode","A landmark film that made history as the first non-English language film to win Best Picture."
"The Prestige","Drama, Mystery, Sci-Fi","Easy Mode","A highly popular Christopher Nolan film with massive international viewership."
"Back to the Future","Adventure, Comedy, Sci-Fi","Easy Mode","A cultural phenomenon and household name across multiple generations."
"Whiplash","Drama, Music","Hard Mode","While critically acclaimed and popular among cinephiles, it is a smaller production with less general public recognition."
"Psycho","Horror, Mystery, Thriller","Easy Mode","A foundational horror-thriller with some of the most recognizable scenes in cinematic history."
